text,label,predict
"Subject: free glucose meter
 enroll today and see if you qualify for a free glucose
 meter .
 we ship all your diabetic testing supplies direct to your door .
 free home delivery and we bill insurance and medicare
 visit : http : / / www . diabetesecare . com / veloznet /
",1,0
"Subject: re : no java ?
 you are cracking me up . basically you are the only thing keeping me awake today . .",0,1
"Subject: major stock play
 amnis systems , inc . ( otcbb : amnm )
 contract announcements and huge newsletter coverage this week =
 for = 20
 amnm ! ! !
 this thursday amnm will be profiled by some major newsletters . =
 = 20
 there will be huge volume and a strong increase in price for severa =
 l = 20
 days . these are the same newsletters that profiled clks two w =
 eeks = 20
 ago . they brought clks from $ 1 . 50 to $ 4 . 35 in ten days . =
 we = 20
 know for certain that the same groups are going to profile amnm sta =
 rting = 20
 on thursday .
 we are very proud that we can share this information with you =
 so that = 20
 you can make a profit out of it . it is highly advisable to ta =
 ke a = 20
 position in amnm as soon as possible , today before the market = 20
 closes , or tomorrow .
 the stock is trading near its 52 week low , and will start movi =
 ng up = 20
 immediately . we believe the stock could easiely reach $ 4 in l =
 ess = 20
 than a month .
 good luck and watch amnm fly this week ! !
 = 09
 = 09
 = 09
 = 09
 = 09
 = 09
 = 09
 _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ incredimail - email has finally =
 = 20
 evolved - click = 20
 here
",1,0
"Subject: immigration update
 louise and marcus ,
 immigration is status quo . i need louise to send over a copy of her new social security card received in the mail and her new prescription card .
 best regards ,",0,1
"Subject: fortune
 here ' s the fortune link . . .
",0,1
"Subject: holiday gift
 thank you so much for your thoughtfulness . . . . this basket is absolutely
 beautiful . . . . . thanks again for your thoughtfulness and for thinking of
 me . . . . . .
 you have a wonderful holiday . . . . . .
 kay",0,1
"Subject: spring savings certificate - take 30 % off
 save 30 % when you use our customer appreciation spring savings
 certificate at foot locker , lady foot locker , kids foot locker and at
 our online stores !
 welcome to our customer appreciation spring savings certificate !
 use the special certificate below and receive 30 % off your purchases either
 in our stores or online . hurry ! this 4 - day sale begins thursday , march 22 and
 ends sunday , march 25 .
 share the savings today and e - mail this offer to your friends . many items
 already are reduced and the 30 % discount is taken off the lowest sale price .
 click below to print your customer appreciation spring savings certificate .
 you must present this coupon at any foot locker , lady foot locker or kids
 foot locker store in the u . s . foot locker canada is not participating in
 this program .
 ready , set , save !
 our spring savings discount will automatically appear when you use the links
 below or type camlem 21 into the promotion code box during checkout .
 footlocker . com certificate code : camlem 21
 ladyfootlocker . com certificate code : camlem 21
 kidsfootlocker . com certificate code : camlem 21
 remember , returns are hassle - free . simply bring your items to any of our
 stores nationwide or through the mail .
 don ' t be left out - register today to learn about our new products , promotions ,
 events and other specials . simply click below .
 terms and conditions . some exclusions apply , please see manager for complete
 details . certificate must be presented at the time of purchase and cannot be
 used in conjunction with any other discount offer or associate benefit . not
 redeemable for cash . applicable taxes must be paid by bearer . cannot be
 applied to prior purchases or to gift card purchases . void where prohibited ,
 licensed or regulated . catalog exclusions apply . valid thursday , 3 / 22 / 01
 through sunday , 3 / 25 / 01 . foot locker canada will not participate in this
 program .
 if you do not wish to receive future emails please click below to
 unsubscribe :
",0,1
"Subject: service cancellation
 as per phone conversation , please cancel my
 service as of 8 / 8 / 05 .
 my customer id number is 1302
 should you need to contact me in person regarding
 this matter please call ken or charlotte steury at 260 . 969 . 2750 .
 thank - you !
 charlotte
 ken steury - abr , crs , e - pro , grireal
 estate ' s "" information central "" ken @ nearrealtors . com 260 . 969 . 2750
 direct line 800 . 226 . near toll freecharlotte
 steury - licensed assistant closing marketing specialistcsteury @ nearrealtors . com 260 . 484 . 5888
 ext . 200 near , realtorsl 1535 leo rd . , l 2 fort
 wayne , in 46845 confidentiality statement : this e - mail
 message , including anyattachment ( s ) , contains information that may be
 confidential . thisinformation is intended only for the use of
 the individuals or entitieslisted above . if you are not the
 intended recipient , you are herebynotified that any disclosure ,
 copying , distribution , or action taken inreliance on the contents of
 these documents is strictly prohibited . if youhave received this
 information in error , please notify the senderimmediately and arrange
 for the return or destruction of these documents .",1,0
"Subject: we ' ve found a school for you !
",1,0
"Subject: thank you for using register . com
 dear louise ,
 thank you for using register . com to submit
 citigroupenergy . com for registration .
 a host of helpful register . com tools and services come with
 citigroupenergy . com .
 take advantage of the following at no additional charge :
 - a 3 page web site with our firststepsite ( tm ) tool !
 http : / / www . firststepsite . com /
 - a personalized email account
 http : / / www . register . com / email - services /
 - url forwarding through firststepportal ( tm )
 http : / / www . register . com / url - jump . cgi
 - superior customer support , 24 hours a day , 7 days a week .
 submit inquiries to :
 in addition , register . com is pleased to offer many valuable
 services to help extend your online presence :
 - - - - promote your site - - - -
 submit your web site to over 500 search engines automatically
 with our easy site submit service . do it today at
 http : / / www . register . com / site - jump . cgi
 - - - - distinguish your brand - - -
 the new specialized domain name extensions allow you to
 enhance your internet presence by indicating your
 organization ' s specialty : for example ,
 citigroupenergy . biz would identify a small business ,
 while citigroupenergy . info would distinguish an
 informational site . to find out
 more about . pro , . biz , . info and . name , go to :
 http : / / www . register . com / tldrequests /
 - - - - go global - - - -
 register domain names in foreign language character sets ,
 including japanese , chinese , french , german , spanish and over
 40 other languages .
 go to http : / / ml . register . com / to register .
 - - - - protect your name - - - -
 register . com will help you protect your . com , . net or . org
 name with saferenew ( tm ) automatic domain renewal service . we
 will notify you when your name is up for expiration , and if
 you can ' t get back to us before that date , we will attempt to
 automatically renew your name for a one - year term .
 please make sure that your billing information is up to date ,
 as you will need a valid credit card on record to take
 advantage of this service . when we renew your name we will
 automatically charge your credit card on file at the current
 renewal price .
 for more information about renewing your domain name or to
 disable your saferenew service , go to :
 http : / / www . register . com / faq / renewal . cgi
 questions or comments ? please visit us at
 http : / / www . register . com / faq / or submit your comments to us at
 we thank you for using register . com , the first step on the
 web ( tm ) .
 best wishes ,
 david hirschler
 general manager , vice president
 retail division
 register . com , inc .
 http : / / www . register . com",0,1
